Ingredient_ID,Ingredient_Name,Ingredient_Lower,Category,Subcategory,Is_Vegetarian,Is_Vegan,Is_Gluten_Free,Common_Usage,Shelf_Life,Storage_Type,Typical_Unit,Hindi_Name,Regional_Names,Nutrition_Highlight,Allergen_Info,Season_Available,Price_Range,Substitutes,Common_Pairings,Cooking_Method,Taste_Profile,Notes,Cuisine_Origin
ING_0001,Spinach,spinach,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0002,Fenugreek Leaves,fenugreek leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0003,Amaranth Leaves,amaranth leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0004,Mustard Greens,mustard greens,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0005,Collard Greens,collard greens,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0006,Kale,kale,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0007,Swiss Chard,swiss chard,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0008,Lettuce,lettuce,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0009,Arugula,arugula,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0010,Watercress,watercress,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
ING_0011,Curry Leaves,curry leaves,Vegetables,,Yes,Yes,Yes,Used in Indian vegetables,-,-,piece/gm/ml,,,,,Year-round,-,,,,,Part of Vegetables category,Indian
